productId,platform,brand,productName,displayNameCandidate,changed,changeType,riskLevel,reason
258,musinsa,losykim,TXA 헬시 글로우 비비 에센스,TXA 헬시 글로우 비비 에센스,False,NO_CHANGE,safe,
943,oliveyoung,마녀공장,[쫀쫀버블] 마녀공장 퓨어 소이빈 클렌징폼 160mlx2 더블기획,[쫀쫀버블] 마녀공장 퓨어 소이빈 클렌징폼 160mlx2 더블기획,False,NO_CHANGE,safe,
885,oliveyoung,이니스프리,[1+1/보송톤업] 이니스프리 데일리 유브이 톤업 노세범 선크림 50ml 더블 기획,이니스프리 데일리 유브이 톤업 노세범 선크림 50ml 더블 기획,True,REMOVE_LEADING_PROMO_BRACKET,review,[1+1/보송톤업]
884,oliveyoung,코스알엑스,[리뉴얼/원조패드]코스알엑스 원스텝 패드 100매 4종 중 택1,[리뉴얼/원조패드]코스알엑스 원스텝 패드 100매 4종 중 택1,False,NO_CHANGE,safe,
396,musinsa,tirtir,마스크 핏 쿨 선 쿠션 (+ 퍼프2P/샤쉐 증정),마스크 핏 쿨 선 쿠션,True,REMOVE_GIFT_SUFFIX,safe,(+ 퍼프2P/샤쉐 증정)
542,oliveyoung,바이오던스,[여단오PICK/스페셜증정] 바이오던스 콜라겐 펩타이드 젤리 세럼 미스트 50ml 기획 (+콜라겐 겔 패드 10매),바이오던스 콜라겐 펩타이드 젤리 세럼 미스트 50ml 기획 (+콜라겐 겔 패드 10매),True,REMOVE_LEADING_PROMO_BRACKET,review,[여단오PICK/스페셜증정]
625,oliveyoung,에스네이처,[수분충전/쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),[수분충전/쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),False,NO_CHANGE,safe,
1553,oliveyoung,비플레인,[말끔모공] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,[말끔모공] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,False,NO_CHANGE,safe,
1490,oliveyoung,닥터엘시아,[포어깎아밤] 닥터엘시아 포어 리프레쉬 그라인딩 클렌징밤 50ml,[포어깎아밤] 닥터엘시아 포어 리프레쉬 그라인딩 클렌징밤 50ml,False,NO_CHANGE,safe,
496,oliveyoung,비페스타,[9일특가] 비페스타 클렌징티슈 세럼 모이스트 46매 (보습개선),비페스타 클렌징티슈 세럼 모이스트 46매 (보습개선),True,REMOVE_LEADING_PROMO_BRACKET,review,[9일특가]
303,oliveyoung,VT,[이나연pick] VT 피디알엔 에센스 100 30ml 더블 기획 (+리들샷 100 10ml),VT 피디알엔 에센스 100 30ml 더블 기획 (+리들샷 100 10ml),True,REMOVE_LEADING_PROMO_BRACKET,review,[이나연pick]
701,oliveyoung,마미케어,[1등 홈경락템] 마미케어 EMS 브이쎄라 (3 COLOR),[1등 홈경락템] 마미케어 EMS 브이쎄라 (3 COLOR),False,NO_CHANGE,safe,
550,oliveyoung,샤이샤이샤이,[화잘먹/속광부스터] 샤이샤이샤이 리페어 밀키 우레아 글로우 버블 세럼 110ml 기획 (+ 밀키크림 15ml),[화잘먹/속광부스터] 샤이샤이샤이 리페어 밀키 우레아 글로우 버블 세럼 110ml 기획 (+ 밀키크림 15ml),False,NO_CHANGE,safe,
882,oliveyoung,파파레서피,[올영단독] 파파레서피 블레미쉬 효소파우더 클렌저 130g 대용량기획 (+팩붓+오일/크림 3ml*3),파파레서피 블레미쉬 효소파우더 클렌저 130g 대용량기획 (+팩붓+오일/크림 3ml*3),True,REMOVE_LEADING_PROMO_BRACKET,safe,[올영단독]
989,oliveyoung,에스네이처,[7일특가/1+1/1등 화잘먹 속촉촉수분썬] 에스네이처 아쿠아 365 UV 선크림 40ml 2입,에스네이처 아쿠아 365 UV 선크림 40ml 2입,True,REMOVE_LEADING_PROMO_BRACKET,review,[7일특가/1+1/1등 화잘먹 속촉촉수분썬]
622,oliveyoung,린제이,[72관왕/1위] 린제이 프리미엄 쿨티트리 모델링 팩 1Kg,[72관왕/1위] 린제이 프리미엄 쿨티트리 모델링 팩 1Kg,False,NO_CHANGE,safe,
924,oliveyoung,오브제,[5/15하루특가/포켓몬 에디션]오브제 포어 제로 오일 컨트롤 선스틱 18g(+꼬부기 파우치),오브제 포어 제로 오일 컨트롤 선스틱 18g,True,MULTI_RULE,safe,[5/15하루특가/포켓몬 에디션]; (+꼬부기 파우치)
372,oliveyoung,라로슈포제,라로슈포제 멜라B3 세럼 30ml,라로슈포제 멜라B3 세럼 30ml,False,NO_CHANGE,safe,
723,oliveyoung,더랩바이블랑두,[산뜻진정/대용량기획] 더랩바이블랑두 그린 플라보노이드 2.5 패드 90매 리필 기획 (+90매),더랩바이블랑두 그린 플라보노이드 2.5 패드 90매 리필 기획 (+90매),True,REMOVE_LEADING_PROMO_BRACKET,review,[산뜻진정/대용량기획]
711,oliveyoung,더랩바이블랑두,[대용량/속보습폭발] 더랩바이블랑두 올리고 히알루론산 딥 토너 500ml 대용량 기획 (+100ml),[대용량/속보습폭발] 더랩바이블랑두 올리고 히알루론산 딥 토너 500ml 대용량 기획 (+100ml),False,NO_CHANGE,safe,
407,oliveyoung,에스트라,에스트라 아토베리어365 하이드로에센스 200ml (+크림 10ml+앰플 10ml),에스트라 아토베리어365 하이드로에센스 200ml (+크림 10ml+앰플 10ml),False,NO_CHANGE,safe,
385,oliveyoung,토리든,[1+1] 토리든 패드 다이브인/밸런스풀 리필기획 2종 택 1(수분/진정),토리든 패드 다이브인/밸런스풀 리필기획 2종 택 1(수분/진정),True,REMOVE_LEADING_PROMO_BRACKET,review,[1+1]
615,oliveyoung,오브제,[포켓몬 에디션]오브제 포어 제로 프레쉬 올인원 150ml 단품/기획 2종 택1(+꼬부기 키캡키링),오브제 포어 제로 프레쉬 올인원 150ml 단품/기획 2종 택1,True,MULTI_RULE,safe,[포켓몬 에디션]; (+꼬부기 키캡키링)
1278,oliveyoung,프리메라,[포켓몬 에디션/5월올영픽] 프리메라 메가-샷 겔마스크 3종 4+1매 기획/단품 (비타티놀/PDRN/워터리),프리메라 메가-샷 겔마스크 3종 4+1매 기획/단품 (비타티놀/PDRN/워터리),True,REMOVE_LEADING_PROMO_BRACKET,safe,[포켓몬 에디션/5월올영픽]
478,oliveyoung,라운드랩,[6월올영픽/총5매/수분쿨링] 라운드랩 자작나무 수분 더블 겔 마스크 4매 기획 (+1매),[6월올영픽/총5매/수분쿨링] 라운드랩 자작나무 수분 더블 겔 마스크 4매 기획 (+1매),False,NO_CHANGE,safe,
1126,oliveyoung,유세린,[5월 올영픽/1등 세럼] 유세린 하이알루론 에피셀린 세럼 30ml 기획 (+에피셀린 세럼 7ml*2),유세린 하이알루론 에피셀린 세럼 30ml 기획 (+에피셀린 세럼 7ml*2),True,REMOVE_LEADING_PROMO_BRACKET,safe,[5월 올영픽/1등 세럼]
1385,oliveyoung,셀퓨전씨,[수분밀착썬/조앤프렌즈 콜라보] 셀퓨전씨 아쿠아티카 쿨링 썬스크린 35ml 더블 기획 (+10ml+조앤프렌즈 캡 키링),셀퓨전씨 아쿠아티카 쿨링 썬스크린 35ml 더블 기획,True,MULTI_RULE,safe,[수분밀착썬/조앤프렌즈 콜라보]; (+10ml+조앤프렌즈 캡 키링)
286,oliveyoung,비플레인,[보들촉촉/녹두필링] 비플레인 녹두 밀크 필링 젤 120ml+40ml 기획,[보들촉촉/녹두필링] 비플레인 녹두 밀크 필링 젤 120ml+40ml 기획,False,NO_CHANGE,safe,
569,oliveyoung,믹순,[수부지 화잘먹 크림] 믹순 히알레배 포어 블러링 크림 50ml,[수부지 화잘먹 크림] 믹순 히알레배 포어 블러링 크림 50ml,False,NO_CHANGE,safe,
1304,oliveyoung,휩드,[스프레드/여행용추가증정] 휩드 무화버터 비건 캐러멜 클렌징밤 90ml + 12ml 증정 기획,휩드 무화버터 비건 캐러멜 클렌징밤 90ml + 12ml 증정 기획,True,REMOVE_LEADING_PROMO_BRACKET,review,[스프레드/여행용추가증정]
571,oliveyoung,VT,[포켓몬 에디션] VT 피디알엔 에센스 100 30ml 더블 기획 (+포켓몬 장바구니 키링),VT 피디알엔 에센스 100 30ml 더블 기획,True,MULTI_RULE,safe,[포켓몬 에디션]; (+포켓몬 장바구니 키링)
741,oliveyoung,에스네이처,[쿨링진정/화해1위 화잘먹 토너패드] 에스네이처 아쿠아 오아시스 판테알란 카밍패드 60매,[쿨링진정/화해1위 화잘먹 토너패드] 에스네이처 아쿠아 오아시스 판테알란 카밍패드 60매,False,NO_CHANGE,safe,
1286,oliveyoung,하다라보,[180ml리필증정] 하다라보 고쿠쥰 클렌징 오일 200mL,[180ml리필증정] 하다라보 고쿠쥰 클렌징 오일 200mL,False,NO_CHANGE,safe,
585,oliveyoung,구달,[6월 올영픽/텔레토비 콜라보] 구달 어성초 히알루론 수딩 클리어 패드 70매 리필 기획 (+70매 리필)(+마켓백),구달 어성초 히알루론 수딩 클리어 패드 70매 리필 기획 (+70매 리필),True,MULTI_RULE,safe,[6월 올영픽/텔레토비 콜라보]; (+마켓백)
641,oliveyoung,메디힐,[스패츌러 증정] 메디힐 블랙헤드 멜팅 클리어 코팩 4매 피지연화,메디힐 블랙헤드 멜팅 클리어 코팩 4매 피지연화,True,REMOVE_LEADING_PROMO_BRACKET,review,[스패츌러 증정]
241,oliveyoung,토리든,토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+올인원 20g),토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 단품/기획 (+올인원 20g),False,NO_CHANGE,safe,
435,oliveyoung,차앤박,[탄력콜라겐UP/1+1] 차앤박 더마앤서 액티브 부스트 PDRN 앰플 30ml 더블기획,차앤박 더마앤서 액티브 부스트 PDRN 앰플 30ml 더블기획,True,REMOVE_LEADING_PROMO_BRACKET,review,[탄력콜라겐UP/1+1]
624,oliveyoung,메디앤서,[광채탄력/대용량]메디앤서 비타 콜라겐 나노샷 마스크 10매,[광채탄력/대용량]메디앤서 비타 콜라겐 나노샷 마스크 10매,False,NO_CHANGE,safe,
1411,oliveyoung,바닐라코,[대용량/저자극] 바닐라코 클린잇제로 립&아이리무버 300ml,[대용량/저자극] 바닐라코 클린잇제로 립&아이리무버 300ml,False,NO_CHANGE,safe,
392,oliveyoung,더샘,[1+1] 더샘 내추럴 마스크팩 1매 (알로에/레몬/녹차/허니/석류 5종 택 1),더샘 내추럴 마스크팩 1매 (알로에/레몬/녹차/허니/석류 5종 택 1),True,REMOVE_LEADING_PROMO_BRACKET,review,[1+1]
721,oliveyoung,성분에디터,[물광리프팅] 성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 40ml 더블기획,[물광리프팅] 성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 40ml 더블기획,False,NO_CHANGE,safe,
880,oliveyoung,리덴스,[리뷰이벤트/잡티미백] 리덴스 톤앤스팟 코렉터 앰플 30ml 더블기획,리덴스 톤앤스팟 코렉터 앰플 30ml 더블기획,True,REMOVE_LEADING_PROMO_BRACKET,review,[리뷰이벤트/잡티미백]
734,oliveyoung,어나더페이스,[1등 착붙3시간팩] 어나더페이스 하이드로겔 마스크팩 (4매입) 2종 택1,[1등 착붙3시간팩] 어나더페이스 하이드로겔 마스크팩 (4매입) 2종 택1,False,NO_CHANGE,safe,
687,oliveyoung,토르홉,[온열소금팩/화잘먹/모공] 토르홉 사우난지앙 솔트마스크 90+7g 미니 기획,[온열소금팩/화잘먹/모공] 토르홉 사우난지앙 솔트마스크 90+7g 미니 기획,False,NO_CHANGE,safe,
805,oliveyoung,아비브,[1+1/파데프리톤업] 아비브 글루타치온좀 CC 선크림 토닝 튜브 50ml 더블 기획,아비브 글루타치온좀 CC 선크림 토닝 튜브 50ml 더블 기획,True,REMOVE_LEADING_PROMO_BRACKET,review,[1+1/파데프리톤업]
393,oliveyoung,아이오페,아이오페 레티놀 레티젝션 세럼 30ml 기획 (+15ml),아이오페 레티놀 레티젝션 세럼 30ml 기획 (+15ml),False,NO_CHANGE,safe,
